Speed,Altitude Beg,Altitude Mid,Altitude End,Octane, Distance , MPG ,
80,4517,5530,4510,87, 40.0 , 22.8 ,
80,4375,4470,4143,87, 20.0 , 25.2 ,
75,4160,4280,4117,87, 20.0 , 29.1 ,
70,4133,3785,3710,87, 20.0 , 30.9 ,
65,3710,3520,3395,87, 15.0 , 30.9 ,
60,3395,,3307,87, 15.0 , 33.3 ,
55,3310,2726,2775,87, 15.0 , 41.4 ,
50,2555,,2670,87, 7.5 , 37.2 ,
45,3149,,3234,87, 5.0 , 41.1 ,
35,,,,87, 6.5 , 34.8 ,
40,,,,87, 6.0 , 27.0 ,
84,3297,,2903,92, 27.0 , 24.5 ,
75,2824,,2444,92, 20.7 , 27.0 ,
70,2431,,2470,92, 20.0 , 27.6 ,
75,2444,2930,2480,92, 31.0 , 22.8 ,
80,3425,,3425,92, 25.0 , 24.9 ,
70,1450,,941,92, 22.2 , 27.0 ,
65,797,,442,92, 20.0 , 29.4 ,
65,450,,656,92, 20.0 , 27.9 ,
60,742,,750,92, 10.0 , 33.0 ,
55,780,,761,92, 10.0 , 32.7 ,
50,770,,836,92, 5.0 , 32.4 ,
45,850,,928,92, 5.0 , 34.2 ,
45,850,,1033,92, 10.0 , 32.7 ,
50,1036,,1125,92, 5.5 , 31.8 ,
55,1512,,1617,92, 8.0 , 29.4 ,
60,1774,2359,1880,92, 14.0 , 29.3 ,
